id_do_not_translate,original_text,translation
urbanized_polity.name,Urbanized Polity,
urbanized_polity.desc,"A dense and cosmopolitan center of population, people of all walks of life live, work, and die in the stacked hab-complexes, commercial concourses, and modular workshops.",
industrial_polity.name,Industrial Polity,
industrial_polity.desc,"A bustling industrial center. The policies of the local government encourage thriving industry, at the expense of all other concerns.",
rural_polity.name,Rural Polity,
rural_polity.desc,"A sparsely populated polity of homesteads and insular townships. In these troubled times, outsiders are generally treated with suspicion.",
large_refugee_population.name,Large Refugee Population,
large_refugee_population.desc,"Desperate refugees fleeing some disaster have ended up here. Refugees live at the bottom of society with little opportunity for betterment, straining domestic infrastructure living in tense semi-legal status. Reduced overall production. More prospective crew members are likely to be found among those trying to escape the squalid living conditions.",
volturnian_lobster_pens.name,Volturnian Lobster Pens,
volturnian_lobster_pens.desc,A mix of several Old Earth species and a little imagination produced this creature which grows wild in the crushing depths of Volturn's sea-floor. The flavor is said to be exceptional.,
vice_demand.name,Vice Demand,
vice_demand.desc,The demand for vice goods is unusually high here.,
organized_crime.name,Organized Crime,
organized_crime.desc,Criminal activity produces drugs and harvested organs. Increases demand for hand weapons (by both various crime bosses and local citizenry) and marines (by the local authorities).,
frontier.name,Frontier,
frontier.desc,"Far from the cosmopolitan centers of population, mere survival, self-reliance, and only-the-necessities are the rules of the frontier. Increased demand for weapons and supplies, reduced demand for luxury goods.",
shipbreaking_center.name,Shipbreaking Center,
shipbreaking_center.desc,"A major center of shipbreaking in this region of the Sector, hulks are consigned to scrapping here by the navies of major factions and many other clients from among the Sector core worlds.",
trade_center.name,Trade Center,
trade_center.desc,"A major center of trade, merchant vessels from across the Sector dock here expecting to find a buyer for their goods- and to find something to buy in turn for a nice profit.",
decivilized.name,Decivilized,
decivilized.desc,"There is no stable ruling polity here. Civilization is collapsed and current population is effectively unknown, though groups of survivors, bandits, and looters can be detected.",
decivilized_subpop.name,Decivilized Subpopulation,
decivilized_subpop.desc,"Civilization has been brought back to parts of $market, often at the point of a gauss rifle. However, an effectively unknown population of survivors, bandits, and looters still remains on the fringes.",
abandoned_station.name,Abandoned Station,
abandoned_station.desc,This station is abandoned.,
cottage_industry.name,Cottage Industry,
cottage_industry.desc,"$market has a substantial base of low-technology, labour-intensive light industry. Increases demand for simple organic fuels and materials, provides an inefficient albeit charmingly hand-crafted supply of domestic goods.",
outpost.name,Outpost,
outpost.desc,"$market is run much like a garrison or a large spaceship, with a rigid official command structure. This improves stability, but does require some personnel to see to internal security matters.",
luddic_majority.name,Luddic Majority,
luddic_majority.desc,"Stability is improved if $market is controlled by a Luddic faction, otherwise it is reduced. The ascetic ethos of Luddic theology reduces demand for luxury goods.",
stealth_minefields.name,Stealth Minefields,
stealth_minefields.desc,A network of hidden mines provides $market security from meddlesome outsiders. Improves stability.,
regional_capital.name,Regional Capital,
regional_capital.desc,"A major center of administration, security, and logistics. Improves stability.",
free_market.name,Free Port,
free_market.desc,"The local port authority imposes almost no regulation on what cargo is traded. Immigration controls are likewise relaxed, resulting in a greater in-flow of people, albeit sometimes of a more questionable character. This may cause other factions to view this colony with distrust.",
closed_immigration.name,Closed Immigration,
closed_immigration.desc,"Officially, immigration to $market is not allowed. In practice, this results in slowing overall immigration significantly, and creating room for certain kinds of criminals to operate.",
uninhabitable.name,Uninhabitable World,
uninhabitable.desc,"A barren planet, the surface of $market can not support organic life as we know it, and farming is impossible outside of sealed artificial ecosystems.",
ice.name,Ice World,
ice.desc,"$market's average temperature is far below the freezing point of water and some common terran atmospheric gases fall as snow. The drifts and glaciers of light, volatile elements may be harvested.",
desert.name,Desert World,
desert.desc,$market: desert planet. A xerophile biosphere maintains an atmosphere breathable with only a light mask. Farming is nearly impossible.,
arid.name,Arid World,
arid.desc,"$market is covered by vast, dry plains and wastes. Water is uncommon and large-scale farming is difficult.",
water.name,Water World,
water.desc,The climate of $market is hospitable but farming is limited largely to aquaculture and highly specialized infrastructure is required for any development of habitats and industry.,
jungle.name,Jungle World,
jungle.desc,"$market is a wet, warm jungle world covered in riotous vegetation and exotic lifeforms, making farming and maintaining permanent infrastructure difficult.",
terran.name,Terran World,
terran.desc,"$market is as close to Old Earth's condition as can be found in the Sector, providing ideal conditions for farming and settlement.",
barren_marginal.name,Barren-marginal World,
barren_marginal.desc,"Inhospitable and unforgiving, outside conditions on $market are barely survivable to a human with an air mask and protective equipment, though certain engineered terraforming lichens find it tolerable enough.",
twilight.name,Twilight World,
twilight.desc,"Tidally locked to its primary, or near enough, $market is a terraformed world with days the length of seasons. Day/night temperature variation is accordingly harsh even to engineered terran life. Islands of 'civilized' mild biomes are maintained through judicious use of solar shades and mirrors. ",
tundra.name,Tundra World,
tundra.desc,"Terraforming has brought terran life to $market but the world remains as cold as the deepest of Earth's ice ages. Though millions of square kilometers are covered in glacier, there are also taiga provinces and rolling steppe where warmer conditions prevail.",
cryovolcanic.name,Cryovolcanic World,
