id_do_not_translate,original_text,translation
food_shortage.possible.player_intel..subject,Possible food shortage $onOrAt $market,
food_shortage.possible.player_intel..summary,Analysis of the intelligence gained from intercepted comms and other sources suggests that a food shortage is likely to occur $onOrAt $market within a few weeks.,
food_shortage.possible.player_intel..assessment,Increased food prices and reduced stability $onOrAt $market if the shortage occurs.,
food_shortage.likely.player_intel..subject,Likely food shortage $onOrAt $market,
food_shortage.likely.player_intel..summary,Analysis of the intelligence gained from intercepted comms and other sources suggests that a food shortage is all but certain to occur $onOrAt $market within a few weeks.,
food_shortage.likely.player_intel..assessment,Increased food prices and reduced stability $onOrAt $market if the shortage occurs.,
food_shortage.likely.hegemony_internal.HOSTILE.subject,Likely food shortage $onOrAt $market,
food_shortage.likely.hegemony_internal.HOSTILE.summary,"This report indicates that a food shortage is all but certain to occur $onOrAt $market, and advises units in the area on what steps could be taken to maximize its impact.",
food_shortage.likely.hegemony_internal.HOSTILE.assessment,"Relief fleet likely to be sent from a nearby star system; intercepting it will extend the shortage and further destabilize $market.

Selling food on black market will increase post-shortage unrest.",
food_shortage.likely.hegemony_internal.FRIENDLY.subject,Likely food shortage $onOrAt $market,
food_shortage.likely.hegemony_internal.FRIENDLY.summary,"This report indicates that a food shortage is all but certain to occur $onOrAt $market, and advises units to stand by to provide assistance.",
food_shortage.likely.hegemony_internal.FRIENDLY.assessment,Delivering enough food to $market quickly will reduce the duration and impact of the shortage.,
food_shortage.start.news..subject,Food shortage $onOrAt $market,
food_shortage.start.news..summary,"The report discusses the food shortage $onOrAt $market and provides a balanced perspective, but fails to pinpoint a specific cause. The most likely culprit appears to be a cascading error in a deteriorating logistics system.",
food_shortage.start.news..assessment,"Increased food prices $onOrAt $market.

Stability reduced by $stabilityPenalty.

Approximately $neededFood units of food needed to end shortage.
Relief fleet likely to be sent from a nearby star system.

Increased reputation impact from selling food. Selling food on black market will increase post-shortage unrest.",
food_shortage.start.hegemony_public.HOSTILE.subject,Critical food shortage $onOrAt $market,
food_shortage.start.hegemony_public.HOSTILE.summary,"The report indicates the food shortage $onOrAt $market is unusually severe, and accuses $theMarketFaction administration of precipitating a humanitarian crisis.",
food_shortage.start.hegemony_public.HOSTILE.assessment,"Increased food prices $onOrAt $market.

Stability reduced by $stabilityPenalty.

Approximately $neededFood units of food needed to end shortage.

Relief fleet likely to be sent from a nearby star system.

Increased reputation impact from selling food. Selling food on black market will increase post-shortage unrest.",
food_shortage.start.hegemony_public.SELF.subject,Alleged food shortage $onOrAt $market,
food_shortage.start.hegemony_public.SELF.summary,"The report flatly denies any rumours of a food shortage $onOrAt $market, and encourages responsible citizens to do their part by reporting anyone suspected of spreading malicious rumours.",
food_shortage.start.hegemony_public.SELF.assessment,"Increased food prices $onOrAt $market.

Stability reduced by $stabilityPenalty.

Approximately $neededFood units of food needed to end shortage.

Relief fleet likely to be sent from a nearby star system.

Increased reputation impact from selling food. Selling food on black market will increase post-shortage unrest.",
food_shortage.warning_relief.player_intel..subject,Food shortage $onOrAt $market: relief being organized on $reliefMarket,
food_shortage.warning_relief.player_intel..summary,Comm traffic analysis indicates that a relief fleet is being organized at $reliefMarket in $reliefSystem and will be sent to $market in the near future.,
food_shortage.warning_relief.player_intel..assessment,"Fleet is carrying enough food to end the shortage.

If the fleet does not arrive as expected, the situation at $market will destabilize further.",
"food_shortage.warning_relief.hegemony_internal,
tritachyon_internal,
sindrian_diktat_internal.HOSTILE.subject",Food shortage $onOrAt $market: relief being organized on $reliefMarket,
"food_shortage.warning_relief.hegemony_internal,
tritachyon_internal,
sindrian_diktat_internal.HOSTILE.summary","The report indicates that a relief fleet is being organized at $reliefMarket in $reliefSystem, and is likely to get underway within a few weeks.",
"food_shortage.warning_relief.hegemony_internal,
tritachyon_internal,
sindrian_diktat_internal.HOSTILE.assessment","Fleet is carrying enough food to end the shortage.

If the fleet does not arrive as expected, the situation at $market will destabilize further.",
"food_shortage.warning_relief.hegemony_internal,
tritachyon_internal,
sindrian_diktat_internal.FRIENDLY.subject",Food shortage $onOrAt $market: relief being organized on $reliefMarket,
"food_shortage.warning_relief.hegemony_internal,
tritachyon_internal,
sindrian_diktat_internal.FRIENDLY.summary","The report indicates that a relief fleet is being organized at $reliefMarket in $reliefSystem, and is likely to get underway within a few days. Nearby units are advised to ensure the fleet arrives to its destination safely.",
"food_shortage.warning_relief.hegemony_internal,
tritachyon_internal,
sindrian_diktat_internal.FRIENDLY.assessment","Fleet is carrying enough food to end the shortage.

If the fleet does not arrive as expected, the situation at $market will destabilize further.",
food_shortage.relief_sent.news..subject,Food shortage $onOrAt $market: relief sent from $reliefMarket,
food_shortage.relief_sent.news..summary,"A relief fleet is underway from $reliefMarket in the $reliefSystem system, and should arrive in $marketSystem $eta.",
food_shortage.relief_sent.news..assessment,"Fleet is carrying enough food to end the shortage.

If the fleet does not arrive as expected, the situation at $market will destabilize further.",
food_shortage.relief_unavailable.news..subject,Food shortage $onOrAt $market: conditions worsen,
food_shortage.relief_unavailable.news..summary,"While there was speculation early on that a neighboring world might be able to send relief, it appears no such aid is forthcoming.",
food_shortage.relief_unavailable.news..assessment,Unrest increased by $stabilityPenaltyRelief.,
food_shortage.relief_aborted.news..subject,Food shortage $onOrAt $market: relief fleet turned back,
food_shortage.relief_aborted.news..summary,"The relief fleet from $reliefMarket was attacked on its way to $market, suffered major losses, and was forced to turn back. The food shortage contniues unabated.",
food_shortage.relief_aborted.news..assessment,Unrest increased by $stabilityPenaltyRelief.,
food_shortage.end_relief_arrived.news..subject,Food shortage $onOrAt $market: relief fleet arrived,
food_shortage.end_relief_arrived.news..summary,"The relief fleet from $reliefMarket has arrived, and the food shortage $onOrAt $market is over.",
food_shortage.end_relief_arrived.news..assessment,"Unrest increased by $stabilityPenaltyEnd.

Food prices $onOrAt $market are back to their normal levels.",
food_shortage.relief_lost.news..subject,Food shortage $onOrAt $market: relief fleet lost,
food_shortage.relief_lost.news..summary,"The relief fleet from $reliefMarket did not arrive at its destination, and the food shortage contniues unabated.",
food_shortage.relief_lost.news..assessment,Unrest increased by $stabilityPenaltyRelief.,
food_shortage.end_expired.news..subject,Food shortage $onOrAt $market over,
food_shortage.end_expired.news..summary,"The report indicates that the food shortage $onOrAt $market is now over. Various factors, including strict rationing, riot-suppression measures, and the arrival of several independent traders, are all credited with ending the shortage.",
