id_do_not_translate,original_text,translation
beaconOpenDialog.text,An autonomous warning beacon has been left emitting a distorted wail between official channels. Whatever message it was meant to convey has been corrupted.,
beaconOpenDialogRemnantsDestroyed.text,"This autonomous warning beacon emits a looping message.

""DANGER: This star system is known to contain potentially active autonomous weapon systems. Access to this system by unauthorized parties is forbidden by Hegemony Navy diktat 224.34.""",
beaconOpenDialogRemnantsSuppressed.text,"This autonomous warning beacon emits a looping message.

""DANGER: This star system is known to contain potentially active autonomous weapon systems. Access to this system by unauthorized parties is forbidden by Hegemony Navy diktat 224.34.""",
beaconOpenDialogRemnantsResurgent.text,"This autonomous warning beacon emits a looping message.

""DANGER: This star system is known to contain potentially active autonomous weapon systems. Access to this system by unauthorized parties is forbidden by Hegemony Navy diktat 224.34.""",
beaconOpenDialogDaedaleon.text,"This autonomous warning beacon emits a looping message.

""This world is corrupted by technological sin and its abomination stands testament to the result of straying from the path of virtue. Trespass is forbidden. Any who scorn this warning shall become both corrupt of body and outlaw by the holy justice enforced by this order of the Knights of Ludd.""",
gateOpenDialog.text,"A silent ring of adamantine material, derelict of a former age.

The Gate is inert.",
gateOpenDialogActive.text,"Before you vast and potent hangs an adamantine ring, derelict of a former age.

You have scanned this Gate and discovered the rhythm of the secret heart of the thing, hidden in a slip of space. Using the Janus Device to create a bridge to another Gate requires a massive quantity of fuel. The more distant the target, the more fuel is required.

The Janus Device operates by transferring enormous amounts of peculiarly phased energy via a lead ship's hyperdrive field to stabilize a direct gate-to-gate connection.",
gateOpenDialogActiveCanNotUse.text,"Before you vast and potent hangs an adamantine ring, derelict of a former age.

You have scanned this Gate and discovered the rhythm of the secret heart of the thing, hidden in a slip of space. Using the Janus Device to create a bridge to another Gate requires a massive quantity of fuel. The more distant the target, the more fuel is required.

You must integrate the Janus Device into your fleet to use the Gate.",
gateOpenDialogCanScan1.text,"A silent ring of adamantine material, derelict of a former age.

Your sensors officer nods to your cue. Your command interface lights up. 'EXECUTE SCAN' blinks expectantly. The Gate awaits, as cold as a tomb.",
gateOpenDialogCanScan1a.text,"A silent ring of adamantine material, derelict of a former age.

You have scanned this Gate and discovered the rhythm of the secret heart of the thing, hidden in a slip of space.",
gateOpenDialogCanScan2.text,"A silent ring of adamantine material, derelict of a former age.

Your sensors officer nods to you; the hyperwave scanner is ready. The words 'EXECUTE SCAN' blink expectantly in your command interface.

You will need a scan of this Gate to be able to use it, with the Janus Device, as an access or egress point from the Gate network.",
gateFlyThrough.text,"You order your $shipOrFleet to traverse the dead gateway. Your bridge crew is especially quiet during the passage.

Nothing happens.",
gateScanSelFirstTime.text,"Your command display is overlaid with a representation of the hyperspace manifold surrounding the Gate. It is calm and cool, devoid of drive-wakes.

As the scan begins you watch a line of disruption flare between the icon representing your flagship and the icon representing the Gate. Spirals and ripples spill out in non-Newtonian waves, surging from a point at the center of the Gate. No, it's not a point - a circle, a sphere, a torus and inverted funnel; then some other form that makes you squeeze your eyes shut. You hear faint music from far away.

""Captain?"" Your sensors officer is looking at you, ""The scan is complete."" You realize it's the second time they said this, and you gesture as if you were simply lost in thought.",
gateScanSelDuringMission.text,"Your command display shows a representation of the hyperspace manifold. It is calm and cool.

The scan begins, a line of disruption flaring between your flagship and the Gate. Spirals and ripples spill and surge in non-Newtonian bursts from a point at the center of the Gate. No, not a point - a circle, a sphere, a torus and inverted funnel; then some geometry that does not parse.

You hear the faint music.

""Captain,"" your sensors officer reports, ""The scan is complete.""",
gateScanSel.text,"Your command display shows the hyperspace manifold. It is calm and cool.

The scanning beam flares in the hyperdimensional display. Spirals and ripples spill in bursts from the Gate, surging into inconceivable geometry. You hear a wisp of faint music.

""Captain,"" your sensors officer reports, ""The scan is complete.""",
gaATGgateScanSummaryLuddic2.text,"You personally see off the party of Luddic faithful who maintained vigil from your flagship. Their fleet is returning; their collective devotion uninterrupted.

""Blessings of Ludd upon you, captain,"" says their leader. ""I shall speak well of you to the Prophet Returned.""

You know to nod in acceptance without raising any theological questions, and give a polite wave as their shuttle leaves the bay.",
devGatesExplodeSel.text,A surge of energy explodes from the Gate.,
surveyStar.text,Your $shipOrFleet approaches $entityName.,
surveyOpen.text,Your $shipOrFleet approaches $entityName.,
surveyOpenDeciv.text,"Your $shipOrFleet approaches $entityName.

$marketName is in chaos, with what's left of the population scrambling to survive by any means possible. Your sensors pick up some intermittent small-arms fire. The collapse of all authority is complete and irreversible, though a new colony can still be established atop the wreckage of the old.",
surveyPrintFullData.text,You have full survey data for this planet.,
surveyPrintHostilesText.text,"A nearby hostile fleet is tracking your movements, making running a survey operation impossible.",
surveySystemIsCutOffCanNotColonize.text,"This system is cut off from hyperspace and the jump-points are unstable. The crew, and even officers, are muted; on-edge. You judge it unlikely that any amount of hazard pay could overcome the near-superstitious fear spacers have of being stranded in a system like this.

Establishing a colony here is not an option.",
surveyPrintHostilesTextEstColony.text,"A nearby hostile fleet is tracking your movements, making establishing a colony impossible.",
surveyOptionPerformSurvey.text,Your $shipOrFleet enters low orbit around $entityName.,
marketOpen.text,Your $shipOrFleet approaches $entityName.,
marketOpenAfterEstablishOutpost.text,"Your $shipOrFleet finishes offloading crew, supplies, and machinery $onOrAt $marketName, and the crew soon busy themselves erecting temporary shelter and basic infrastructure.",
marketReturnFromBar.text,You leave the bar and take a shuttle back to your $shipOrFleet.,
marketPostOpenDefault.text,Your $shipOrFleet transmits identification codes via the transponder and you are soon granted docking clearance.,
marketPostOpenGilead.text,Your $shipOrFleet transmits identification codes via the transponder and you are soon granted a slot in a parking orbit.,
marketPostOpenNoTrade.text,"$TheFactionLong $factionIsOrAre $relAdjective towards you, and the port authority refuses your request for docking clearance after you identify yourself.

You might be able to establish contact with underground parties if you come in with the transponder turned off.",
marketPostOpenNoTradeHostile.text,"Your recent actions around $marketName have generated a lot of local interest, and simply coming in with the transponder off is no longer sufficient to go unnoticed. Judging from the current level of comm chatter and news reports, you estimate it'll take $playerHostileTimeoutStr until the commotion dies down.",
marketPostOpenNoTradeHostileTOn.text,"Your recent actions around $marketName have generated a lot of local interest, and engaging in open business is impossible. Judging from the current level of comm chatter and news reports, you estimate it'll take $playerHostileTimeoutStr until the commotion dies down.",
marketPostOpenNoTradeOffOpen.text,"$TheFactionLong $factionIsOrAre $relAdjective towards you, and the port authority refuses your request for docking clearance after you identify yourself.

The refusal is rather perfunctory and you get the impression that turning off your transponder to prevent identification might yield better results.",
marketPostOpenToOffPatrols.text,"Your $shipOrFleet goes into orbit around $marketName, ignoring requests from the $faction port authority to identify yourself.

At least one $faction patrol is tracking your movements, and no underground parties are willing to run the risk of doing business.",
marketPostOpenSought.text,"Your $shipOrFleet goes into orbit around $marketName.

At least one $faction patrol is tracking your movements, and the port authority refuses your request for docking clearance until the matter is resolved.",
marketPostOpenToOffIsFine.text,"Your $shipOrFleet goes into orbit around $marketName. The local port authority seems to take no issue with your explanation for why your transponder, regrettably, can't be turned on.",
marketPostOpenPlayerOwnerd.text,Your $shipOrFleet goes into orbit around $marketName.,
marketPostOpenToOffSneak.text,"Your $shipOrFleet goes into orbit around $marketName, ignoring requests from $theFaction port authority to identify yourself.

No $faction patrols seem to be aware of you just yet, and you have a window of opportunity for doing business with parties untroubled by your lack of docking clearance.",
marketOptionTradeCargo.text,You establish a linkup with the port authority's cargo management system and browse the inventory.,
marketOptionTradeShips.text,You establish a linkup with the dockyard and see what's available.,
marketOptionRefit.text,You establish a linkup with the dockyard and transmit your $shipOrFleet status.,
marketOptionRepairAll.text,"Your $shipOrFleet undergoes full repairs and is restored to maximum combat readiness, at the cost of $global.repairSupplyCost supplies.",
marketOptionCommDir.text,You connect to the local comm directory and browse the public and otherwise known listings.,
marketPostOpenFSEPlayerFast.text,"Thanks to your efforts, the food shortage is now over before it had a chance to cause much chaos. $marketName's long-term stability is unaffected by the shortage.",
marketPostOpenFSEPlayer.text,"Thanks to your efforts, the food shortage is now over. Its impact on $marketName's stability is reduced.",
marketPostOpenFSEPlayerBlack.text,"Thanks to your illicit efforts, the food shortage is now over. Since much of the food you've delivered went through channels of questionable legality, there's not much hope - or, indeed, desire - for official recognition.",
marketPostOpenFSEMixedIndirect.text,"Thanks in part to your efforts, the recent food shortage is over. Your standing with $theMarketFaction should improve slightly.",
marketPostOpenFSENonPlayer.text,"Tapping into the comm network for local news, you learn that there was a recent food shortage. Though the shortage is now over, the local situation is still somewhat destabilized.",
marketPostOpenFSEExpired.text,"Tapping into the comm network for local news, you learn that there was a recent and protracted food shortage. Though the shortage is now over, the local situation is still highly destabilized.",
greetingNoComms.text,"You try to establish a comm link, but get only static.",
greetingDefaultTOffNormal.text,"$PersonRank $personName looks aggravated. ""If you want to talk, identify yourself first.""",
greetingDefaultTOffWeaker.text,"$PersonRank $personName looks concerned. ""If you want to talk, identify yourself first.""",
greetingDefaultTurnOnT.text,You issue an order to activate the transponder and re-open the comm link.,
greetingFallthrough.text,"You try to establish a comm link, but get only static.",
greetingDefaultFriendly.text,"""Acknowledging receipt of AIS code. Good to see you, $playerName.""",
greetingDefaultHostileWeaker.text,"""Hostile $shipOrFleet, be advised: we've already dispatched a distress call to a nearby patrol, and it should arrive shortly.""",
greetingDefaultHostileWeakerDefiant.text,"The enemy $personRank looks grim but defiant. ""We will fight you to the last,"" $heOrShe says.
OR
""Damn, we're in a tight spot."" $PersonRank $personName suddenly notices the line is open and shuts it off.",
greetingDefaultHostileStronger.text,"It appears the enemy $personRank doesn't seem to feel the need to talk to you, as your comm requests go unanswered.",
greetingDefaultNeutral.text,"""You have been scanned and identified. It's probably best for both our peace of mind if you keep your distance.""",
greetingDefaultInfamous.text,"""You have been scanned and,"" $heOrShe blinks at $hisOrHer screen, then says almost - but not quite - under $hisOrHer breath, ""$playerName. The butcher."" 

$HeOrShe straightens $hisOrHer back, ""It'd be best if you kept your distance. We, we are armed.""
OR
As the comms resolve, $rank $personLastName looks at you with recognition and alarm.

""It's... you. The things you've done, I can't believe-"" $heOrShe clears $hisOrHer throat uncomfortably, ""What is it you want?""",
greetingDefaultInfamousFriendly.text,"""Ah, Captain $playerName."" $HeOrShe looks uncomfortable. ""Your reputation... precedes you. Let us conclude our business quickly then go our own ways.""",
greetingHegemonyFriendly.text,"""Acknowledging receipt of your codes, moving to a secure channel."" A flicker of a phoenix icon and static, then: ""Yes? All is well I trust? Glad to hear it, citizen. Over and out.""
OR
""Your $shipOrFleet has been scanned and identified, everything is in order. Burn bright, citizen.""
OR
""Scanned and identified. You're flying pretty, citizen. Clean jumps and high burn."" $PersonRank $personName signs off with a flash of the gold phoenix.",
greetingHegemonyHostileWeaker.text,"""Hostile vessel, be advised, linecast to system patrol craft has already been dispatched, reinforcements are en route. You are advised to power down weapon systems and disengage. Over.""
OR
""Belligerent contact! Be advised that firing upon a Hegemony vessel is considered an act of insurrection and you'll be hunted down!"" The Hegemony $personRank is sweating. ""When they're done with you, you'll be sold in black markets on worlds across the Sector, I swear it.""
OR
""We give our lives for the restoration of the Domain and all humanity."" $HeOrShe pauses for a moment as if to say something more, then cuts the comm.",
greetingHegemonyHostileWeakerDefiant.text,"The Hegemony $personRank looks grim but defiant. ""We will fight you to the last,"" $heOrShe says.
OR
""We fight and we die for the Domain; for humanity."" The comm-line cuts out.",
greetingHegemonyHostileStronger.text,"""By authority of the High Hegemon Administrator, you are ordered to take hyperspace drives offline, disable weapons and surrender. Over.""
OR
""Resistance to Hegemony authority is an act of insurrection and shall be punished accordingly. Surrender now or be met with force.""",
greetingHegemonyNeutral.text,"""You have been scanned and identified, citizen. If nothing is amiss, we shall be on our way.""
OR
The Hegemony $personRank looks impatient. ""Is there an emergency to report? No? Then carry on, citizen.""",
greetingTTFriendly.text,"""Identity confirmed. Please accept my greetings on behalf of the Company.""
OR
""Sorry friend, this Tri-Tachyon vessel is on a classified mission. Burn bright.""
OR
""Greetings on behalf of the Tri-Tachyon Corporation. Please state your business so that we may assist in meeting your needs -- for a reasonable fee, of course.""
OR
""Comm open. Oh, do you have the latest Tri-Tachyon catalogue of executive spaceflight accessories? I'll have a customer service representative upload a copy immediately.""

Your comms officer's console pings.
OR
""Hi, I'd like to add you to my professional network on TriLink.""",
greetingTTHostileWeaker.text,"""Attention. Your vessel has been scanned and identified as hostile to the Tri-Tachyon corporation. Further attempts at aggression will be recorded.""
OR
""Any attempt to hinder or damage this Tri-Tachyon owned and operated vessel will result in legal consequences."" The Tri-Tachyon $personRank looks nervous. ""Trust me, these people don't mess around, you really ought to leave me alone.""",
greetingTTHostileWeakerDefiant.text,"The Tri-Tachyon $personRank looks grim but defiant. ""Corporate regulation 313.33, section A, states that combat-capable vessels must defend themselves in a vigorous manner at all times,"" $heOrShe says.",
