id_do_not_translate,original_text,translation
modspec.name,Base ModSpec,
modspec.desc,"A collection of notes, guidelines, and practical examples that enable one to adapt and apply this modification to various hulls.",
.name,# other items,
corrupted_nanoforge.name,Corrupted Nanoforge,
corrupted_nanoforge.desc,"A powerful and versatile manufacturing ""black box"", capable of building itself out to an industrial scale, given the necessary raw materials and human assistance.

This one has seen better days, and is incapable of reliably producing defect-free components. Nonetheless, having access to a nanoforge at all is a step up as far as starship construction goes.",
pristine_nanoforge.name,Pristine Nanoforge,
pristine_nanoforge.desc,"A powerful and versatile manufacturing ""black box"", capable of building itself out to an industrial scale, given the necessary raw materials and human assistance.

This one is good as new, at least according to its on-board diagnostics. In practice, getting defect-free starship components is still a challenge given the overall state of manufacturing in the Sector, but this nanoforge is as good as it gets.",
synchrotron.name,Synchrotron Core,
synchrotron.desc,"A specialized nanoforge, loaded with firmware and seed nano-tech to build itself out into a Synchrotron that allows industrial-scale antimatter production.",
orbital_fusion_lamp.name,Orbital Fusion Lamp,
orbital_fusion_lamp.desc,"A miniaturized, variable-output fusion reactor capable of providing ample light and heat to a planet.

Safe operation requires prodigious quantities of volatiles. If the demand is not met, the reactor suffers from potentially hazardous instability, which may lead to an uncontrolled surge in output. Litigation over whether this device is of inherently unsafe design or simply used unsafely were ongoing in Domain courts at the time of the Collapse.",
coronal_portal.name,Hypershunt Tap,
coronal_portal.desc,"A miniaturized wormhole interface which can be activated to tap into a nearby coronal hypershunt, providing a colony with virtually unlimited power.

Operation requires industrial quantities of transplutonics, which are at first used to open the wormhole, and then - once the power drawn becomes self-sustaining - is consumed in a complicated ablative process which maintains wormhole stability. Any interruption in supply requires a full shutdown of the tap.",
mantle_bore.name,Autonomous Mantle Bore,
mantle_bore.desc,"While it is believed there are no functional control override units remaining in the Sector, the bore itself is capable of independent - if sometimes unpredictable - operation. Automatic-mode failsafes preclude its use on habitable worlds.",
catalytic_core.name,Catalytic Core,
catalytic_core.desc,Vastly improves the effectiveness of refining operations by way of a surprising quirk of osmosis physics. Operation requires access to vacuum on a scale difficult to achieve on planets with significant atmospheric pressure.,
soil_nanites.name,Soil Nanites,
soil_nanites.desc,"Enables soil enrichment and recovery at a rate far beyond that at which unaided natural processes perform. Domain Nanite Safety Regulation 4324, subsection 81 prohibits use on worlds with transplutonic ore or volatiles deposits, and unfortunately the built-in failsafe appears to be functional.",
biofactory_embryo.name,Biofactory Embryo,
biofactory_embryo.desc,"A dizzying array of consumer goods can be grown rather than manufactured. The fully-extruded biofactory only thrives in the delicate balance of sunlight, soil nutrients, and atmospheric conditions a habitable world can provide. Attempts to mimic these conditions in artificial environments always fail, causing the factory to sicken, presumably due to a genetically encoded failsafe.",
fullerene_spool.name,Fullerene Spool,
