id_do_not_translate,original_text,translation
advancedshieldemitter.name,Accelerated Shields,
advancedshieldemitter.desc,Increases the turn rate of the ship's shields by %s and the rate at which the shields are raised by %s.,
advancedshieldemitter.sModDesc,Increases the shield's turn rate and raise rate by an additional %s.,
adaptive_coils.name,Adaptive Phase Coils,
adaptive_coils.desc,"Phase coils are less able to maintain a connection with normal space as the ship's hard flux levels rise, resulting in a greatly reduced top speed as the coils struggle to gain traction.

This modification allows the coils to handle higher levels of hard flux, increasing the threshold at which speed bottoms out by %s. For standard-design coils with no other modifications, this takes the threshold from %s to %s.",
advancedoptics.name,Advanced Optics,
advancedoptics.desc,"Extends the range of beam weapons by %s, but reduces their turn rate by %s. Cumulative with Integrated Targeting Unit.",
turretgyros.name,Advanced Turret Gyros,
turretgyros.desc,Increases the turn rate of all turrets by %s.,
turretgyros.sModDesc,Increases damage to missiles and fighters by %s. Increases damage to smaller ships by %s per size class of difference.,
armoredweapons.name,Armored Weapon Mounts,
armoredweapons.desc,"Increases the durability of all weapons by %s and reduces recoil by %s, but decreases weapon turn rate by %s. Also increases the ship's armor by %s.",
armoredweapons.sModDesc,Increases the rate of fire of all non-missile weapons by %s.,
assault_package.name,Assault Package,
assault_package.desc,"Increases the ship's hull integrity by %s, armor by %s, and flux capacity by %s.

Will try to engage enemies and otherwise act as a combat ship in battle.",
autorepair.name,Automated Repair Unit,
autorepair.desc,Reduces the time required to repair disabled weapons and engines (in combat) by %s.,
autorepair.sModDesc,"Reduces repair time to %s, and reduces overload duration by %s.",
auxiliarythrusters.name,Auxiliary Thrusters,
auxiliarythrusters.desc,Increases the ship's maneuverability by %s.,
ballistic_rangefinder.name,Ballistic Rangefinder,
ballistic_rangefinder.desc,<tooltip created in the script due to lots of highlighting>,
blast_doors.name,Blast Doors,
blast_doors.desc,"Installs additional hermetic and heavily reinforced doors at critical junctures throughout the ship. Increases hull integrity by %s.

Ship takes %s fewer crew casualties from hull damage sustained in combat.",
blast_doors.sModDesc,Increases the crew casualty reduction to %s.,
converted_hangar.name,Converted Hangar,
converted_hangar.desc,<Tooltip created in script>,
converted_hangar.sModDesc,"Increases the rate at which the fighter replacement rate recovers by %s for cruisers, and by %s for capital ships. No added effect for destroyers.",
converted_fighterbay.name,Converted Fighter Bay,
converted_fighterbay.desc,"Converts the ship's fighter bays housing built-in wings into improvised cargo holds, giving it an additional %s cargo capacity and reducing its crew requirements by %s per fighter bay. The crew reduction is limited to a maximum of %s.",
converted_fighterbay.sModDesc,Monthly maintenance cost reduced by %s per fighter bay.,
dedicated_targeting_core.name,Dedicated Targeting Core,
dedicated_targeting_core.desc,"Increases the range of ballistic and energy weapons by %s/%s for cruisers/capital ships.

Can not be installed on a frigate or a destroyer, and can not work in conjunction with Integrated Targeting Unit.

Most combat ships install either an Integrated Targeting Unit or a Dedicated Targeting Core, with the exception of more specialized variants.",
dedicated_targeting_core.sModDesc,Increases the range bonus to %s for cruisers and %s for capital ships.,
defensive_targeting_array.name,Defensive Targeting Array,
defensive_targeting_array.desc,"Standard fighter communication links are re-purposed to provide short-range targeting data.

Increases fighter damage to missiles and other fighters by %s, but makes the fighters unable to leave the vicinity of their ship.",
defensive_targeting_array.sModDesc,Extends range of ballistic and energy weapons of the ship's fighters by %s units.,
eccm.name,ECCM Package,
eccm.desc,"Reduces the chance for missiles launched by the ship to be affected by electronic counter-measures and flares by %s.

A CPU core adjunct in each missile increases missile top speed by %s and missile maneuverability by %s, as well as significantly improving the guidance algorithm.

Also reduces the weapon range reduction due to superior enemy Electronic Warfare by %s.",
eccm.sModDesc,Fully negates the effect of ECM and flares on missiles fired by this ship.,
ecm.name,ECM Package,
ecm.desc,"When deployed in combat, grants %s/%s/%s/%s ECM rating, depending on this ship's hull size.",
escort_package.name,Escort Package,
escort_package.desc,"Increases the ship's maneuverability by %s. Increases the range of all point-defense weapons by %s, and increases the damage dealt to fighters and missiles by %s.

Will try to engage enemies and otherwise act as a combat ship in battle.",
expanded_deck_crew.name,Expanded Deck Crew,
expanded_deck_crew.desc,"Reduces the rate at which the fighter replacement rate decreases due to fighter losses by %s, and increases the rate at which it recovers by %s.

Increases the crew required by %s per fighter bay.",
magazines.name,Expanded Magazines,
magazines.desc,Increases the ammo capacity or the number of charges for ballistic and energy weapons by %s.,
magazines.sModDesc,Increases the ammo/charge regeneration rate for ballistic and energy weapons by %s.,
missleracks.name,Expanded Missile Racks,
missleracks.desc,Increases the ammo capacity of missile weapons by %s.,
missleracks.sModDesc,Reduces the rate of fire of missile weapons by %s.,
extendedshieldemitter.name,Extended Shields,
extendedshieldemitter.desc,Increases the shield's coverage by %s degrees.,
extendedshieldemitter.sModDesc,Increases the shield's coverage by an additional %s degrees.,
fluxcoil.name,Flux Coil Adjunct,
fluxcoil.desc,"Increases the ship's flux capacity by %s/%s/%s/%s, depending on hull size. Not as efficient as flux capacitors - most useful when added to a design that already carries the maximum possible number of capacitors.",
fluxcoil.sModDesc,"Increases flux capacity by a further %s/%s/%s/%s, making the coil as efficient as adding capacitors.",
fluxdistributor.name,Flux Distributor,
fluxdistributor.desc,"Increases the ship's flux dissipation by %s/%s/%s/%s, depending on hull size. Not as efficient as flux vents - most useful when added to a design that already carries the maximum possible number of vents.",
fluxdistributor.sModDesc,"Increases flux dissipation by a further %s/%s/%s/%s, making the distributor as efficient as adding vents.",
shield_shunt.name,Shield Shunt,
shield_shunt.desc,"Removes the ship's shields. The external emitter nodes are replaced with reinforced plating, increasing the ship's armor by %s.",
shield_shunt.sModDesc,Increases the ship's armor by an additional %s.,
frontshield.name,Makeshift Shield Generator,
frontshield.desc,"Installs a makeshift, inefficient shield generator on the ship. The shield emitter is locked in a forward-facing position and has a %s degree arc.

The shield generator draws much of its power from engines and reduces the ship's top speed by %s.",
missile_autoloader.name,Missile Autoloader,
missile_autoloader.desc,<tooltip created in the script due to sections/other complexity>,
missile_autoloader.sModDesc,Increases the post-reload cooldown to %s seconds.,
hardenedshieldemitter.name,Hardened Shields,
hardenedshieldemitter.desc,Reduces the amount of damage taken by shields by %s. Also reduces the chance that shields will be pierced by EMP arcs from weapons like the Ion Beam.,
hardened_subsystems.name,Hardened Subsystems,
hardened_subsystems.desc,"Increases peak operating time for ships that suffer degraded performance from extended deployment by %s.

Also reduces the rate at which combat readiness degrades by %s.",
heavyarmor.name,Heavy Armor,
heavyarmor.desc,"Increases the ship's armor by %s/%s/%s/%s points, depending on hull size.",
heavyarmor.sModDesc,Reduces the ship's maneuverability by %s.,
high_scatter_amp.name,High Scatter Amplifier,
high_scatter_amp.desc,<tooltip created in the script due to sections>,
high_scatter_amp.sModDesc,Increases beam weapon damage by an additional %s.,
pointdefenseai.name,Integrated Point Defense AI,
pointdefenseai.desc,"Gives all point-defense weapons the ability to identify - and ignore - decoy flares. In addition, all point-defense weapons get the best possible target leading, regardless of combat readiness, and all damage to missiles is increased by %s. ",
pointdefenseai.sModDesc,"All small non-missile weapons are classified as ""point-defense"", automatically target missiles, and are affected by point-defense stat modifiers.",
pdintegration.name,#Point Defense Integration,
pdintegration.desc,"Reduces the ordnance point cost of small point-defense weapons by %s. The cost reduction only affects weapons that have PD capability as a feature of the weapon itself, and not when it's gained through other means such as from a hullmod.

In addition, all point-defense weapons deal %s more damage to all targets.",
targetingunit.name,Integrated Targeting Unit,
targetingunit.desc,"Extends the range of ballistic and energy weapons by %s/%s/%s/%s, depending on hull size. Can not work in conjunction with Dedicated Targeting Core.

Most combat ships install either an Integrated Targeting Unit or a Dedicated Targeting Core, with the exception of more specialized variants.",
nav_relay.name,Nav Relay,
nav_relay.desc,"When deployed in combat, increases nav rating of your fleet by %s/%s/%s/%s, depending on this ship's hull size.

The total nav rating of your fleet increases the top speed of your deployed ships.",
neural_interface.name,Neural Interface,
neural_interface.desc,"Links the flagship with another ship, allowing switching between ships without using a shuttle pod. Both ships must have a Neural Interface and not be commanded by an officer or an AI core. The transfer is instant if the combined deployment points of the ships are %s or less.

If the linked ship is destroyed or leaves the battlefield, the flagship will establish a neural link with another ship with a Neural Interface. If the flagship is destroyed or leaves the battlefield, command will have to be physically transferred to another ship with a Neural Interface before a new link can be established.

Both linked ships benefit from your personal combat skills as if you'd transferred command to them, regardless of which one you're controlling personally. As with ""transfer command"", some skill effects - such as those increasing ammo capacity, or other fixed ship stats - do not apply.",
neural_integrator.name,Neural Integrator,
