id_do_not_translate_this,original_text,translation
lightmg.name,"Light Machine Gun",
lightmg.primaryRoleStr,"Point Defense",
lightdualmg.name,"Light Dual Machine Gun",
lightdualmg.primaryRoleStr,"Point Defense",
lightmortar.name,"Light Mortar",
lightmortar.primaryRoleStr,"Anti Armor",
lightmortar_fighter.name,"#Light Mortar (High Delay)",
lightmortar_fighter.primaryRoleStr,"Anti Armor",
vulcan.name,"Vulcan Cannon",
vulcan.primaryRoleStr,"Point Defense",
lightac.name,"Light Autocannon",
lightac.primaryRoleStr,"Anti Shield",
lightdualac.name,"Light Dual Autocannon",
lightdualac.primaryRoleStr,"Anti Shield",
lightag.name,"Light Assault Gun",
lightag.primaryRoleStr,"Anti Armor",
fragbomb.name,"Stinger-class Proximity Mine",
fragbomb.primaryRoleStr,"Anti Fighter",
clusterbomb.name,"Cluster Bomb Bay",
clusterbomb.primaryRoleStr,"Strike",
bomb.name,"Standard Bomb Bay",
bomb.primaryRoleStr,"Strike",
lightneedler.name,"Light Needler",
lightneedler.primaryRoleStr,"Anti Shield",
railgun.name,"Railgun",
railgun.primaryRoleStr,"Anti Shield",
shredder.name,"Thumper",
shredder.primaryRoleStr,"General",
heavymg.name,"Heavy Machine Gun",
heavymg.primaryRoleStr,"Point Defense",
heavymortar.name,"Heavy Mortar",
heavymortar.primaryRoleStr,"Anti Armor",
flak.name,"Flak Cannon",
flak.primaryRoleStr,"Point Defense (Area)",
arbalest.name,"Arbalest Autocannon",
arbalest.primaryRoleStr,"Anti Shield",
dualflak.name,"Dual Flak Cannon",
dualflak.primaryRoleStr,"Point Defense (Area)",
chaingun.name,"Assault Chaingun",
chaingun.primaryRoleStr,"Anti Armor",
heavymauler.name,"Heavy Mauler",
heavymauler.primaryRoleStr,"Anti Armor",
heavyac.name,"Heavy Autocannon",
heavyac.primaryRoleStr,"Anti Shield",
hveldriver.name,"Hypervelocity Driver",
hveldriver.primaryRoleStr,"Anti Shield",
heavyneedler.name,"Heavy Needler",
heavyneedler.primaryRoleStr,"Anti Shield",
gauss.name,"Gauss Cannon",
gauss.primaryRoleStr,"Anti Shield",
hephag.name,"Hephaestus Assault Gun",
hephag.primaryRoleStr,"Anti Armor",
mark9.name,"Mark IX Autocannon",
mark9.primaryRoleStr,"Anti Shield",
devastator.name,"Devastator Cannon",
devastator.primaryRoleStr,"Anti Fighter (Area)",
